hotel,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
0,0.0,7,0,27,1,0,1,1,0,0,0.0,0.0,0,0,0,0.0,0,0,214.65992721391024,0.0,0.0,75.0,0.0,0.0
0,0.0,13,0,27,1,0,1,1,0,0,1.0,1.0,0,0,0,0.0,0,0,304.0,0.0,0.0,75.0,0.0,0.0
0,0.0,14,0,27,1,0,2,2,0,0,2.0,2.0,0,0,0,0.0,0,0,240.0,0.0,0.0,98.0,0.0,1.0
0,0.0,0,0,27,1,0,2,2,0,0,0.0,0.0,0,0,0,,0,0,214.65992721391024,0.0,0.0,107.0,0.0,0.0
0,0.0,9,0,27,1,0,2,2,0,0,0.0,0.0,0,0,0,,0,0,303.0,0.0,0.0,103.0,0.0,1.0
0,1.0,85,0,27,1,0,3,2,0,0,2.0,2.0,0,0,0,0.0,0,0,240.0,0.0,0.0,82.0,0.0,1.0
0,1.0,75,0,27,1,0,3,2,0,0,,2.0,0,0,0,3.0,0,0,15.0,0.0,0.0,105.5,0.0,0.0
0,1.0,23,0,27,1,0,4,2,0,0,2.0,2.0,0,0,0,4.0,0,0,240.0,0.0,0.0,123.0,0.0,0.0
0,0.0,35,0,27,1,0,4,2,0,0,2.0,2.0,0,0,0,3.0,0,0,240.0,0.0,0.0,145.0,0.0,0.0
0,0.0,68,0,27,1,0,4,2,0,0,2.0,2.0,0,0,0,3.0,0,0,240.0,0.0,0.0,97.0,0.0,3.0
0,0.0,37,0,27,1,0,4,2,0,0,2.0,2.0,0,0,0,4.0,0,0,241.0,0.0,0.0,94.71,0.0,0.0
0,0.0,68,0,27,1,0,4,2,0,0,2.0,2.0,0,0,0,3.0,0,0,240.0,0.0,0.0,97.0,0.0,3.0
0,0.0,37,0,27,1,0,4,2,0,0,,2.0,0,0,0,4.0,0,0,8.0,0.0,1.0,97.5,0.0,0.0
0,0.0,12,0,27,1,0,1,2,0,0,2.0,2.0,0,0,0,0.0,0,0,240.0,0.0,0.0,88.2,0.0,0.0
0,0.0,0,0,27,1,0,1,2,0,0,1.0,1.0,0,0,0,0.0,0,0,214.65992721391024,0.0,0.0,107.42,0.0,0.0
0,0.0,7,0,27,1,0,4,2,0,0,0.0,0.0,0,0,0,,0,0,250.0,0.0,0.0,153.0,0.0,1.0
0,0.0,37,0,27,1,1,4,1,0,0,2.0,2.0,0,0,0,,0,0,241.0,0.0,0.0,97.29,0.0,1.0
0,0.0,127,0,27,1,2,5,2,0,0,,2.0,0,0,0,3.0,0,0,115.0,0.0,1.0,94.95,0.0,1.0
0,0.0,78,0,27,1,2,5,2,0,0,,2.0,0,0,0,3.0,0,0,5.0,0.0,0.0,63.6,1.0,0.0
0,0.0,48,0,27,1,2,5,2,0,0,,2.0,0,0,0,3.0,0,0,8.0,0.0,1.0,79.5,0.0,0.0
0,1.0,60,0,27,1,2,5,2,0,0,2.0,2.0,0,0,0,4.0,0,0,240.0,0.0,0.0,107.0,0.0,2.0
0,0.0,77,0,27,1,2,5,2,0,0,2.0,2.0,0,0,0,0.0,0,0,240.0,0.0,0.0,94.0,0.0,0.0
0,0.0,99,0,27,1,2,5,2,0,0,2.0,2.0,0,0,0,3.0,0,0,240.0,0.0,0.0,87.3,1.0,1.0
0,0.0,95,0,27,1,4,11,2,0,0,,2.0,0,0,0,3.0,0,0,241.0,0.0,0.0,63.86,0.0,0.0
0,1.0,96,0,27,1,2,8,2,0,0,0.0,0.0,0,0,0,4.0,0,0,214.65992721391024,0.0,0.0,108.3,0.0,2.0
0,0.0,69,0,27,2,2,4,2,0,0,,2.0,0,0,0,0.0,0,0,175.0,0.0,0.0,65.5,0.0,0.0
0,1.0,45,0,27,2,1,3,3,0,0,2.0,2.0,0,0,0,3.0,0,0,241.0,0.0,0.0,108.8,0.0,1.0
0,1.0,40,0,27,2,1,3,3,0,0,2.0,2.0,0,0,0,3.0,0,0,241.0,0.0,0.0,108.8,0.0,1.0
0,0.0,15,0,27,2,1,3,2,0,0,2.0,2.0,0,0,0,0.0,0,0,240.0,0.0,0.0,98.0,0.0,0.0
0,0.0,36,0,27,2,1,3,3,0,0,2.0,2.0,0,0,0,3.0,0,0,241.0,0.0,0.0,108.8,0.0,1.0
