hotel,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests
,0.0,7,,27,1,0,1,1,0,0,0,0,0,0,,214.65992721391024,0.0,75.0,0.0,0.0
,0.0,13,,27,1,0,1,1,0,0,0,0,0,0,,304.0,0.0,75.0,0.0,0.0
,0.0,14,,27,1,0,2,2,0,0,0,0,0,0,,240.0,0.0,98.0,0.0,1.0
,0.0,0,,27,1,0,2,2,0,0,0,0,0,0,,214.65992721391024,0.0,107.0,0.0,0.0
,0.0,9,,27,1,0,2,2,0,0,0,0,0,0,,303.0,0.0,103.0,0.0,1.0
,1.0,85,,27,1,0,3,2,0,0,0,0,0,0,,240.0,0.0,82.0,0.0,1.0
,1.0,75,,27,1,0,3,2,0,0,0,0,0,0,,15.0,0.0,105.5,0.0,0.0
,1.0,23,,27,1,0,4,2,0,0,0,0,0,0,,240.0,0.0,123.0,0.0,0.0
,0.0,35,,27,1,0,4,2,0,0,0,0,0,0,,240.0,0.0,145.0,0.0,0.0
,0.0,68,,27,1,0,4,2,0,0,0,0,0,0,,240.0,0.0,97.0,0.0,3.0
,0.0,37,,27,1,0,4,2,0,0,0,0,0,0,,241.0,0.0,94.71,0.0,0.0
,0.0,68,,27,1,0,4,2,0,0,0,0,0,0,,240.0,0.0,97.0,0.0,3.0
,0.0,37,,27,1,0,4,2,0,0,0,0,0,0,,8.0,0.0,97.5,0.0,0.0
,0.0,12,,27,1,0,1,2,0,0,0,0,0,0,,240.0,0.0,88.2,0.0,0.0
,0.0,0,,27,1,0,1,2,0,0,0,0,0,0,,214.65992721391024,0.0,107.42,0.0,0.0
,0.0,7,,27,1,0,4,2,0,0,0,0,0,0,,250.0,0.0,153.0,0.0,1.0
,0.0,37,,27,1,1,4,1,0,0,0,0,0,0,,241.0,0.0,97.29,0.0,1.0
,0.0,127,,27,1,2,5,2,0,0,0,0,0,0,,115.0,0.0,94.95,0.0,1.0
,0.0,78,,27,1,2,5,2,0,0,0,0,0,0,,5.0,0.0,63.6,1.0,0.0
,0.0,48,,27,1,2,5,2,0,0,0,0,0,0,,8.0,0.0,79.5,0.0,0.0
,1.0,60,,27,1,2,5,2,0,0,0,0,0,0,,240.0,0.0,107.0,0.0,2.0
,0.0,77,,27,1,2,5,2,0,0,0,0,0,0,,240.0,0.0,94.0,0.0,0.0
,0.0,99,,27,1,2,5,2,0,0,0,0,0,0,,240.0,0.0,87.3,1.0,1.0
,0.0,95,,27,1,4,11,2,0,0,0,0,0,0,,241.0,0.0,63.86,0.0,0.0
,1.0,96,,27,1,2,8,2,0,0,0,0,0,0,,214.65992721391024,0.0,108.3,0.0,2.0
,0.0,69,,27,2,2,4,2,0,0,0,0,0,0,,175.0,0.0,65.5,0.0,0.0
,1.0,45,,27,2,1,3,3,0,0,0,0,0,0,,241.0,0.0,108.8,0.0,1.0
,1.0,40,,27,2,1,3,3,0,0,0,0,0,0,,241.0,0.0,108.8,0.0,1.0
,0.0,15,,27,2,1,3,2,0,0,0,0,0,0,,240.0,0.0,98.0,0.0,0.0
,0.0,36,,27,2,1,3,3,0,0,0,0,0,0,,241.0,0.0,108.8,0.0,1.0
,1.0,43,,27,2,1,3,3,0,0,0,0,0,0,,241.0,0.0,108.8,0.0,0.0
,0.0,70,,27,2,2,3,2,0,0,0,0,0,0,,250.0,0.0,137.0,0.0,1.0
,1.0,45,,27,2,2,3,2,0,0,0,0,0,0,,241.0,0.0,117.81,0.0,0.0
,0.0,45,,27,2,2,3,2,0,0,0,0,0,0,,8.0,0.0,79.5,0.0,0.0
,0.0,16,,27,2,2,3,2,0,0,0,0,0,0,,214.65992721391024,0.0,123.0,0.0,0.0
,0.0,107,,27,2,2,5,2,0,0,0,0,0,0,,240.0,0.0,110.7,0.0,2.0
,1.0,47,,27,2,2,5,2,2,0,0,0,0,0,,240.0,0.0,153.0,0.0,0.0
,0.0,96,,27,2,2,5,2,0,0,0,0,0,0,,134.0,0.0,58.95,0.0,1.0
,0.0,113,,27,2,2,5,2,0,0,0,0,0,0,,156.0,0.0,82.88,0.0,2.0
,0.0,113,,27,2,2,5,2,0,0,0,0,0,0,,156.0,0.0,67.58,0.0,2.0
,0.0,93,,27,2,3,8,2,0,0,0,0,0,0,,156.0,0.0,56.01,0.0,0.0
,0.0,76,,27,2,4,10,2,0,0,0,0,0,0,,243.0,0.0,110.7,0.0,0.0
,0.0,3,,27,2,0,1,2,0,0,0,0,0,0,,240.0,0.0,88.2,1.0,0.0
,0.0,1,,27,2,0,1,2,0,0,0,0,0,0,,240.0,0.0,147.0,1.0,0.0
,0.0,1,,27,2,0,1,2,2,0,0,0,0,0,,214.65992721391024,0.0,107.0,1.0,2.0
,0.0,0,,27,2,0,1,2,0,0,0,0,0,0,,214.65992721391024,0.0,147.0,0.0,0.0
,0.0,0,,27,2,0,1,2,0,0,0,0,0,0,,240.0,0.0,117.9,0.0,2.0
,0.0,0,,27,2,0,1,2,0,0,0,0,0,0,,214.65992721391024,0.0,123.0,0.0,0.0
,0.0,14,,27,2,0,2,2,0,0,0,0,0,0,,242.0,0.0,98.0,0.0,1.0
,0.0,10,,27,2,0,2,2,0,0,0,0,0,0,,241.0,0.0,117.81,0.0,0.0
,0.0,5,,27,2,0,2,2,0,0,0,0,0,0,,240.0,0.0,135.0,1.0,2.0
,0.0,17,,27,2,0,3,2,0,0,0,0,0,0,,250.0,0.0,133.0,0.0,1.0
,0.0,93,,27,2,0,3,2,0,0,0,0,0,0,,115.0,0.0,58.95,0.0,0.0
,1.0,3,,27,2,0,3,2,0,0,0,0,0,0,,240.0,0.0,136.33,0.0,2.0
,0.0,10,,27,3,0,2,2,2,0,0,0,0,0,,240.0,0.0,153.0,1.0,0.0
,0.0,3,,27,3,0,2,2,0,0,0,0,0,0,,240.0,0.0,110.5,0.0,0.0
,0.0,51,,27,3,0,2,2,0,0,0,0,0,0,,242.0,0.0,97.0,0.0,0.0
,1.0,71,,27,3,0,2,3,0,0,0,0,0,0,,242.0,0.0,110.3,0.0,2.0
,1.0,63,,27,3,0,2,2,0,0,0,0,0,0,,240.0,0.0,82.0,0.0,2.0
,1.0,62,,27,3,0,2,2,0,0,0,0,0,0,,240.0,0.0,97.0,0.0,1.0
,1.0,101,,27,3,0,2,2,0,0,0,0,0,0,,240.0,0.0,73.8,0.0,1.0
,0.0,2,,27,3,0,2,2,0,0,0,0,0,0,,3.0,0.0,91.5,0.0,0.0
,0.0,15,,27,3,0,2,2,0,0,0,0,0,0,,240.0,0.0,114.5,0.0,0.0
,1.0,51,,27,3,0,2,3,0,0,0,0,0,0,,242.0,0.0,110.3,0.0,0.0
,0.0,3,,27,3,1,2,2,0,0,0,0,0,0,,240.0,0.0,90.9,1.0,0.0
,1.0,48,,27,3,1,2,2,0,0,0,0,0,0,,240.0,0.0,123.0,0.0,0.0
,0.0,2,,27,3,2,2,1,0,0,0,0,0,0,,240.0,0.0,122.0,0.0,0.0
,0.0,72,,27,3,2,2,2,0,0,0,0,0,0,,105.0,0.0,110.7,1.0,0.0
,0.0,81,,27,3,2,6,3,0,0,0,0,0,0,,5.0,0.0,85.86,0.0,0.0
